OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1921017,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Herelleviridae,Nitunavirus,Bacillus virus Grass
OTU_547228,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Saundersvirus,Bacillus phage PM1
OTU_1984798,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Perisivirus,Perisivirus_u_s
OTU_1305708,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Clostridium phage vB_CpeS-CP51
OTU_2560392,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Sasvirus,Corynebacterium virus BFK20
OTU_1914895,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Seunavirus,Cronobacter virus GAP31
OTU_1141137,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Podoviridae_u_g,Cronobacter phage vB_CsaP_GAP52
OTU_1913650,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Karamvirus,Karamvirus_u_s
OTU_1913656,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Karamvirus,Escherichia virus CC31
OTU_10699,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Siphoviridae_u_s
OTU_186794,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Lederbergvirus_u_s
OTU_1921117,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Nonagvirus,Nonagvirus_u_s
OTU_196242,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Enterobacteria phage BP-4795
OTU_2169920,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK106
OTU_1147143,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Enterobacteria phage HK140
OTU_2169921,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK446
OTU_2169922,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK542
OTU_2169923,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK544
OTU_2169968,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Lambdavirus,Escherichia virus HK629
OTU_2169924,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK633
OTU_1090133,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Enterobacteria phage IME10
OTU_1977411,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Inoviridae_u_g,Escherichia virus If1
OTU_1921120,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Nonagvirus,Escherichia virus JenP1
OTU_10680,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Caudovirales_u_f,Caudovirales_u_g,Enterobacteria phage P4
OTU_1567486,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Enterobacteria phage P88
OTU_221029,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Enterobacteria phage ST104
OTU_1524881,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Enterobacteria phage Sf101
OTU_1225789,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Enterobacteria phage SfI
OTU_55884,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Enterobacteria phage SfV
OTU_936054,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Oslovirus,Enterobacteria phage VT2phi_272
OTU_489828,Viruses,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus,Enterobacteria phage WA13 sensu lato
OTU_564886,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Enterobacteria phage YYZ-2008
OTU_1945589,Viruses,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus,Escherichia virus alpha3
OTU_414970,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Enterobacteria phage cdtI
OTU_2560457,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Escherichia virus fiAA91ss
OTU_1147149,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Enterobacteria phage mEp043 c-1
OTU_1147150,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Enterobacteria phage mEp235
OTU_1147151,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Ravinvirus,Enterobacteria phage mEp237
OTU_1147152,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Enterobacteria phage mEp460
OTU_2169927,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus mEpX1
OTU_2169928,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus mEpX2
OTU_103807,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Enterobacteria phage phiP27
OTU_1141139,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Autographiviridae,Zindervirus,Enterobacteria phage vB_EcoP_ACG-C91
OTU_1147156,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Enterobacterial phage mEp213
OTU_2169926,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus mEp234
OTU_1965384,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Kolesnikvirus,Erwinia virus Ea214
OTU_2560094,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Asteriusvirus,Asteriusvirus_u_s
OTU_1921553,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Seuratvirus,Seuratvirus_u_s
OTU_1914852,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Vequintavirus,Vequintavirus_u_s
OTU_1921554,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Seuratvirus,Escherichia virus Cajan
OTU_665033,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Muvirus,Escherichia phage D108
OTU_1883200,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Dhillonvirus,Escherichia phage Envy
OTU_1914856,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Vequintavirus,Escherichia virus FFH2
OTU_1883202,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Dhillonvirus,Escherichia phage Gluttony
OTU_906669,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Escherichia phage HK639
OTU_1911010,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Kagunavirus,Escherichia virus K1H
OTU_1911008,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Kagunavirus,Escherichia virus K1G
OTU_1981162,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Traversvirus,Escherichia virus Min27
OTU_1921555,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Seuratvirus,Escherichia virus Seurat
OTU_1124654,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Uetakevirus,Escherichia phage TL-2011b
OTU_1914853,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Vequintavirus,Escherichia virus V5
OTU_1982579,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Uetakevirus,Escherichia virus phiV10
OTU_2560458,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Escherichia virus pro147
OTU_2560459,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Escherichia virus pro483
OTU_1720493,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Seuratvirus,Escherichia phage slur01
OTU_1981160,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Traversvirus,Escherichia virus 24B
OTU_29252,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Escherichia virus 186
OTU_10742,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK022
OTU_37554,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Hendrixvirus,Escherichia virus HK97
OTU_187764,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Autographiviridae,Zindervirus,Escherichia virus K1-5
OTU_344022,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Autographiviridae,Zindervirus,Escherichia virus K1E
OTU_10678,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Punavirus,Escherichia virus P1
OTU_10679,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Escherichia virus P2
OTU_103216,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Escherichia virus Wphi
OTU_10848,Viruses,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus,Escherichia virus phiK
OTU_1196844,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Hpunavirus,Hpunavirus_u_s
OTU_51369,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Lactobacillus phage A2
OTU_755164,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Lactobacillus phage LBR48
OTU_1567453,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Lactobacillus phage LfeSau
OTU_496874,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Lactobacillus phage Lrm1
OTU_1739609,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Lactobacillus phage iA2
OTU_1206110,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Lactobacillus phage phiAQ113
OTU_279281,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Lactobacillus phage phiAT3
OTU_298338,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Herelleviridae,Herelleviridae_u_g,Lactobacillus virus LP65
OTU_35241,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Lactococcus phage Tuc2009
OTU_36343,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Ceduovirus,Lactococcus virus bIL67
OTU_2560595,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Minunavirus,Microbacterium virus Min1
OTU_2169634,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Redivirus,Redivirus_u_s
OTU_1698709,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium phage Enkosi
OTU_140410,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Peduovirus_u_s
OTU_1914851,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Seunavirus,Seunavirus_u_s
OTU_1813771,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Salmonella phage 118970_sal3
OTU_1198140,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Felixounavirus,Felixounavirus_u_s
OTU_10662,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Myoviridae_u_s
OTU_1921123,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Nonanavirus,Salmonella virus 9NA
OTU_1543201,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Autographiviridae,Zindervirus,Salmonella phage BP12B
OTU_2560726,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Salmonella virus FSLSP004
OTU_1911006,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Cornellvirus,Salmonella virus SP31
OTU_2005698,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus LSPA1
OTU_929814,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Salmonella phage RE-2010
OTU_2005699,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus SE2
OTU_1647455,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Salmonella phage SEN1
OTU_1647458,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Salmonella phage SEN22
